target_path,source_path,target_kind,decision,category,priority,status,message
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Option/BT1_097.json,Assets/CardBaseEntity/BT1/Blue/Option/BT1_097.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Option/BT1_098.json,Assets/CardBaseEntity/BT1/Blue/Option/BT1_098.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Option/BT1_099.json,Assets/CardBaseEntity/BT1/Blue/Option/BT1_099.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Option/BT1_100.json,Assets/CardBaseEntity/BT1/Blue/Option/BT1_100.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Option/BT1_101.json,Assets/CardBaseEntity/BT1/Blue/Option/BT1_101.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Option/BT1_101_P1.json,Assets/CardBaseEntity/BT1/Blue/Option/BT1_101_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Tamer/BT1_086.json,Assets/CardBaseEntity/BT1/Blue/Tamer/BT1_086.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Blue/Tamer/BT1_086_P1.json,Assets/CardBaseEntity/BT1/Blue/Tamer/BT1_086_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/DigiEgg/BT1_007.json,Assets/CardBaseEntity/BT1/Green/DigiEgg/BT1_007.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/DigiEgg/BT1_007_P1.json,Assets/CardBaseEntity/BT1/Green/DigiEgg/BT1_007_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_008.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_008.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_064.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_064.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_064_P1.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_064_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_064_P2.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_064_P2.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_065.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_065.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_066.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_066.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_066_P1.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_066_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_066_P2.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_066_P2.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_067.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_067.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_067_P1.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_067_P1.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_067_P2.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_067_P2.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_068.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_068.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1/Green/Digimon/BT1_069.json,Assets/CardBaseEntity/BT1/Green/Digimon/BT1_069.asset,ConvertedData,USE,CardData,HIGH,created_or_filled,Created file or filled existing empty file.
