GroupId,Set,Color,CardCount,SourceDir,TestProject,GoalId
BT14/Green,BT14,Green,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Green,CardEffect.BT14.Green.Tests,CARDS-BT14-Green
BT14/Purple,BT14,Purple,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Purple,CardEffect.BT14.Purple.Tests,CARDS-BT14-Purple
BT14/Red,BT14,Red,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Red,CardEffect.BT14.Red.Tests,CARDS-BT14-Red
BT14/White,BT14,White,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/White,CardEffect.BT14.White.Tests,CARDS-BT14-White
BT14/Yellow,BT14,Yellow,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT14/Yellow,CardEffect.BT14.Yellow.Tests,CARDS-BT14-Yellow
BT15/Black,BT15,Black,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Black,CardEffect.BT15.Black.Tests,CARDS-BT15-Black
BT15/Blue,BT15,Blue,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Blue,CardEffect.BT15.Blue.Tests,CARDS-BT15-Blue
BT15/Green,BT15,Green,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Green,CardEffect.BT15.Green.Tests,CARDS-BT15-Green
BT15/Purple,BT15,Purple,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Purple,CardEffect.BT15.Purple.Tests,CARDS-BT15-Purple
BT15/Red,BT15,Red,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Red,CardEffect.BT15.Red.Tests,CARDS-BT15-Red
BT15/White,BT15,White,1,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/White,CardEffect.BT15.White.Tests,CARDS-BT15-White
BT15/Yellow,BT15,Yellow,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT15/Yellow,CardEffect.BT15.Yellow.Tests,CARDS-BT15-Yellow
BT16/Black,BT16,Black,24,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT16/Black,CardEffect.BT16.Black.Tests,CARDS-BT16-Black
BT16/Blue,BT16,Blue,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT16/Blue,CardEffect.BT16.Blue.Tests,CARDS-BT16-Blue
BT16/Green,BT16,Green,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT16/Green,CardEffect.BT16.Green.Tests,CARDS-BT16-Green
BT16/Purple,BT16,Purple,20,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT16/Purple,CardEffect.BT16.Purple.Tests,CARDS-BT16-Purple
BT16/Red,BT16,Red,12,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT16/Red,CardEffect.BT16.Red.Tests,CARDS-BT16-Red
BT16/White,BT16,White,3,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT16/White,CardEffect.BT16.White.Tests,CARDS-BT16-White
BT16/Yellow,BT16,Yellow,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT16/Yellow,CardEffect.BT16.Yellow.Tests,CARDS-BT16-Yellow
BT17/Black,BT17,Black,11,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT17/Black,CardEffect.BT17.Black.Tests,CARDS-BT17-Black
BT17/Blue,BT17,Blue,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT17/Blue,CardEffect.BT17.Blue.Tests,CARDS-BT17-Blue
BT17/Green,BT17,Green,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT17/Green,CardEffect.BT17.Green.Tests,CARDS-BT17-Green
BT17/Purple,BT17,Purple,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT17/Purple,CardEffect.BT17.Purple.Tests,CARDS-BT17-Purple
BT17/Red,BT17,Red,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT17/Red,CardEffect.BT17.Red.Tests,CARDS-BT17-Red
BT17/White,BT17,White,8,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT17/White,CardEffect.BT17.White.Tests,CARDS-BT17-White
BT17/Yellow,BT17,Yellow,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT17/Yellow,CardEffect.BT17.Yellow.Tests,CARDS-BT17-Yellow
BT18/Black,BT18,Black,21,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT18/Black,CardEffect.BT18.Black.Tests,CARDS-BT18-Black
BT18/Blue,BT18,Blue,11,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT18/Blue,CardEffect.BT18.Blue.Tests,CARDS-BT18-Blue
BT18/Green,BT18,Green,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT18/Green,CardEffect.BT18.Green.Tests,CARDS-BT18-Green
BT18/Purple,BT18,Purple,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT18/Purple,CardEffect.BT18.Purple.Tests,CARDS-BT18-Purple
BT18/Red,BT18,Red,18,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT18/Red,CardEffect.BT18.Red.Tests,CARDS-BT18-Red
BT18/White,BT18,White,2,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT18/White,CardEffect.BT18.White.Tests,CARDS-BT18-White
BT18/Yellow,BT18,Yellow,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT18/Yellow,CardEffect.BT18.Yellow.Tests,CARDS-BT18-Yellow
BT19/Black,BT19,Black,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT19/Black,CardEffect.BT19.Black.Tests,CARDS-BT19-Black
BT19/Blue,BT19,Blue,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT19/Blue,CardEffect.BT19.Blue.Tests,CARDS-BT19-Blue
BT19/Green,BT19,Green,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT19/Green,CardEffect.BT19.Green.Tests,CARDS-BT19-Green
BT19/Purple,BT19,Purple,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT19/Purple,CardEffect.BT19.Purple.Tests,CARDS-BT19-Purple
BT19/Red,BT19,Red,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT19/Red,CardEffect.BT19.Red.Tests,CARDS-BT19-Red
BT19/White,BT19,White,5,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT19/White,CardEffect.BT19.White.Tests,CARDS-BT19-White
BT19/Yellow,BT19,Yellow,20,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT19/Yellow,CardEffect.BT19.Yellow.Tests,CARDS-BT19-Yellow
BT20/Black,BT20,Black,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT20/Black,CardEffect.BT20.Black.Tests,CARDS-BT20-Black
BT20/Blue,BT20,Blue,9,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT20/Blue,CardEffect.BT20.Blue.Tests,CARDS-BT20-Blue
BT20/Green,BT20,Green,11,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT20/Green,CardEffect.BT20.Green.Tests,CARDS-BT20-Green
BT20/Purple,BT20,Purple,29,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT20/Purple,CardEffect.BT20.Purple.Tests,CARDS-BT20-Purple
BT20/Red,BT20,Red,19,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT20/Red,CardEffect.BT20.Red.Tests,CARDS-BT20-Red
BT20/White,BT20,White,6,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT20/White,CardEffect.BT20.White.Tests,CARDS-BT20-White
BT20/Yellow,BT20,Yellow,10,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT20/Yellow,CardEffect.BT20.Yellow.Tests,CARDS-BT20-Yellow
BT21/Black,BT21,Black,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT21/Black,CardEffect.BT21.Black.Tests,CARDS-BT21-Black
BT21/Blue,BT21,Blue,13,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT21/Blue,CardEffect.BT21.Blue.Tests,CARDS-BT21-Blue
BT21/Green,BT21,Green,9,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT21/Green,CardEffect.BT21.Green.Tests,CARDS-BT21-Green
BT21/Purple,BT21,Purple,21,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT21/Purple,CardEffect.BT21.Purple.Tests,CARDS-BT21-Purple
BT21/Red,BT21,Red,36,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT21/Red,CardEffect.BT21.Red.Tests,CARDS-BT21-Red
BT21/White,BT21,White,2,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT21/White,CardEffect.BT21.White.Tests,CARDS-BT21-White
BT21/Yellow,BT21,Yellow,9,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT21/Yellow,CardEffect.BT21.Yellow.Tests,CARDS-BT21-Yellow
BT22/Black,BT22,Black,21,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT22/Black,CardEffect.BT22.Black.Tests,CARDS-BT22-Black
BT22/Blue,BT22,Blue,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT22/Blue,CardEffect.BT22.Blue.Tests,CARDS-BT22-Blue
BT22/Green,BT22,Green,11,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT22/Green,CardEffect.BT22.Green.Tests,CARDS-BT22-Green
BT22/Purple,BT22,Purple,14,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT22/Purple,CardEffect.BT22.Purple.Tests,CARDS-BT22-Purple
BT22/Red,BT22,Red,10,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT22/Red,CardEffect.BT22.Red.Tests,CARDS-BT22-Red
BT22/White,BT22,White,8,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT22/White,CardEffect.BT22.White.Tests,CARDS-BT22-White
BT22/Yellow,BT22,Yellow,21,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT22/Yellow,CardEffect.BT22.Yellow.Tests,CARDS-BT22-Yellow
BT23/Black,BT23,Black,17,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT23/Black,CardEffect.BT23.Black.Tests,CARDS-BT23-Black
BT23/Blue,BT23,Blue,15,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT23/Blue,CardEffect.BT23.Blue.Tests,CARDS-BT23-Blue
BT23/Green,BT23,Green,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT23/Green,CardEffect.BT23.Green.Tests,CARDS-BT23-Green
BT23/Purple,BT23,Purple,16,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT23/Purple,CardEffect.BT23.Purple.Tests,CARDS-BT23-Purple
