layer,path,asis_lines,port_lines,review_status,reviewer,findings,date
mirror,Assets/Scripts/Script/CardEffectCommons/MinMax_DP_Cost_Level/DigivolutionCards/IsMinDigivolutionCards.cs,24,37,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnMove.cs,35,37,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenDiscardLibrary.cs,35,37,,,,
mirror,Assets/Scripts/Script/CardEffects/AddJogressLevelsClass.cs,32,37,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotBeDestroyedClass.cs,32,37,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotBeRemovedClass.cs,32,37,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotSuspendClass.cs,33,37,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotSwitchAttackTargetClass.cs,31,37,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotUnsuspendClass.cs,32,37,,,,
mirror,Assets/Scripts/Script/CardEffects/CannotBlockClass.cs,32,37,,,,
mirror,Assets/Scripts/Script/CardEffects/DontHaveDPClass.cs,32,37,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotAffectedClass.cs,31,36,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotAttackTargetDefendingPermanentClass.cs,31,36,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotMoveClass.cs,31,36,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotPutFieldClass.cs,31,36,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotSelectBySkillClass.cs,31,36,,,,
mirror,Assets/Scripts/Script/CardEffects/CollisionClass.cs,30,36,,,,
mirror,Assets/Scripts/Script/SkillInfo.cs,15,35,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnCardsAddedToHand.cs,33,35,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangePermanentLevelClass.cs,31,35,,,,
mirror,Assets/Scripts/Script/CardEffects/DontBattleSecurityDigimonClass.cs,30,35,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/MinMax_DP_Cost_Level/Level/IsMaxLevel.cs,24,34,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Collision.cs,32,34,,,,
mirror,Assets/Scripts/Script/CardEffects/AddEvolutionConditionClass.cs,28,34,,,,
mirror,Assets/Scripts/Script/CardEffects/CanNotPlayClass.cs,29,34,,,,
mirror,Assets/Scripts/Script/CardEffects/IgnoreColorConditionClass.cs,29,34,,,,
mirror,Assets/Scripts/Script/CardEffects/TreatAsDigimonClass.cs,29,34,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnFaceUpSecurityIncrease.cs,31,33,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenPermanentWouldPlay.cs,31,33,,,,
mirror,Assets/Scripts/Script/CardEffects/AddAppFusionConditionClass.cs,27,33,,,,
mirror,Assets/Scripts/Script/CardEffects/AddAssemblyConditionClass.cs,28,33,,,,
mirror,Assets/Scripts/Script/CardEffects/AddBurstDigivolutionConditionClass.cs,27,33,,,,
mirror,Assets/Scripts/Script/CardEffects/AddDigiXrosConditionClass.cs,28,33,,,,
mirror,Assets/Scripts/Script/CardEffects/AddLinkConditionClass.cs,27,33,,,,
mirror,Assets/Scripts/Script/CutInProcess.cs,110,32,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenAddHand.cs,30,32,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeCardLevelClass .cs,28,32,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeBaseCardColorClass.cs,27,31,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeCardColorClass.cs,26,31,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeDPDeleteEffectMaxDPClass.cs,26,31,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/PermanentEnterField/WhenDigivolving.cs,27,30,,,,
mirror,Assets/Scripts/Script/CardEffects/AddMaxTrashCountDigiXrosClass.cs,25,30,,,,
mirror,Assets/Scripts/Script/CardEffects/AddMaxUnderTamerCountDigiXrosClass.cs,25,30,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeTraitsClass.cs,25,30,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/PermanentEnterField/OnPlay.cs,26,29,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeBaseCardNameClass.cs,24,29,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeCardLevelForAssemblyClass.cs,24,29,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeCardNamesClass.cs,24,29,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeCardNamesForDigiXrosClass.cs,24,29,,,,
mirror,Assets/Scripts/Script/CardEffects/ChangeEndTurnMinMemoryClass.cs,23,28,,,,
mirror,Assets/Scripts/Script/CardEffects/DisableEffectClass.cs,24,28,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/CanUseEffects/WhenLoseSecurity.cs,25,27,,,,
mirror,Assets/Scripts/Script/MainPhaseAction/PlayCardAction.cs,101,27,,,,
mirror,Assets/Scripts/Script/CEntity_Base.cs,403,25,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/IsDigivolvedByTheEffect.cs,24,24,,,,
mirror,Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/ChangeSAttack.cs,231,24,,,,
