rel	units_total	units_kept	units_deleted	comment_lines_deleted	comment_lines_kept	physical_lines_removed	token_gate	note
CardEffect/EX4/Blue/EX4_020.cs	29	0	29	29	0	29	PASS	
CardEffect/EX4/Blue/EX4_062.cs	17	0	17	17	0	17	PASS	
CardEffect/EX4/Red/EX4_013.cs	39	0	39	39	0	39	PASS	
CardEffect/EX5/Black/EX5_053.cs	42	0	42	42	0	42	PASS	
CardEffect/EX5/Black/EX5_055.cs	35	0	35	35	0	35	PASS	
CardEffect/EX5/Purple/EX5_058.cs	41	0	41	41	0	41	PASS	
CardEffect/EX6/Black/EX6_044.cs	48	0	48	48	0	48	PASS	
CardEffect/EX6/Red/EX6_001.cs	10	0	10	10	0	10	PASS	
CardEffect/EX6/Red/EX6_011.cs	40	10	30	30	10	30	PASS	
CardEffect/EX6/White/EX6_072.cs	21	0	21	21	0	21	PASS	
CardEffect/EX7/Purple/EX7_058.cs	41	0	41	41	0	41	PASS	
CardEffect/EX7/Purple/EX7_072.cs	39	0	39	39	0	39	PASS	
CardEffect/EX7/Red/EX7_010.cs	28	0	28	28	0	28	PASS	
CardEffect/EX7/Red/EX7_014.cs	38	0	38	38	0	38	PASS	
CardEffect/EX8/Black/EX8_051.cs	17	0	17	17	0	17	PASS	
CardEffect/EX8/Blue/EX8_026.cs	18	0	18	18	0	18	PASS	
CardEffect/EX8/Blue/EX8_028.cs	39	0	39	39	0	39	PASS	
CardEffect/EX8/Blue/EX8_068.cs	28	0	28	28	0	28	PASS	
CardEffect/EX8/Green/EX8_074.cs	56	0	56	56	0	56	PASS	
CardEffect/EX8/Purple/EX8_059.cs	35	0	35	35	0	35	PASS	
CardEffect/EX8/Purple/EX8_061.cs	21	0	21	21	0	21	PASS	
CardEffect/EX8/Purple/EX8_072.cs	30	0	30	30	0	30	PASS	
CardEffect/EX8/Yellow/EX8_030.cs	20	0	20	20	0	20	PASS	
CardEffect/EX8/Yellow/EX8_037.cs	32	0	32	32	0	32	PASS	
CardEffect/EX9/Purple/EX9_062.cs	21	0	21	21	0	21	PASS	
CardEffect/EX9/Red/EX9_008.cs	17	0	17	17	0	17	PASS	
CardEffect/EX9/White/EX9_074.cs	31	0	31	31	0	31	PASS	
CardEffect/LM/Blue/LM_046.cs	25	0	25	25	0	25	PASS	
CardEffect/LM/Purple/LM_018.cs	26	0	26	26	0	26	PASS	
CardEffect/LM/Yellow/LM_047.cs	36	0	36	36	0	36	PASS	
CardEffect/LM/Yellow/LM_054.cs	43	0	43	43	0	43	PASS	
CardEffect/P/Black/P_234.cs	18	0	18	18	0	18	PASS	
CardEffect/P/Blue/P_048.cs	70	0	70	70	0	70	PASS	
CardEffect/P/Blue/P_098.cs	26	0	26	26	0	26	PASS	
CardEffect/P/Purple/P_198.cs	34	0	34	34	0	34	PASS	
CardEffect/P/Purple/P_223.cs	41	0	41	41	0	41	PASS	
CardEffect/P/Yellow/P_165.cs	35	0	35	35	0	35	PASS	
CardEffect/ST1/Red/ST1_01.cs	7	0	7	7	0	7	PASS	
CardEffect/ST1/Red/ST1_03.cs	6	0	6	6	0	6	PASS	
CardEffect/ST1/Red/ST1_06.cs	12	0	12	12	0	12	PASS	
CardEffect/ST1/Red/ST1_07.cs	6	0	6	6	0	6	PASS	
CardEffect/ST1/Red/ST1_08.cs	22	0	22	22	0	22	PASS	
CardEffect/ST1/Red/ST1_09.cs	16	0	16	16	0	16	PASS	
CardEffect/ST1/Red/ST1_11.cs	9	0	9	9	0	9	PASS	
CardEffect/ST1/Red/ST1_12.cs	10	0	10	10	0	10	PASS	
CardEffect/ST1/Red/ST1_13.cs	18	0	18	18	0	18	PASS	
CardEffect/ST1/Red/ST1_14.cs	11	0	11	11	0	11	PASS	
CardEffect/ST1/Red/ST1_15.cs	18	0	18	18	0	18	PASS	
CardEffect/ST1/Red/ST1_16.cs	14	0	14	14	0	14	PASS	
CardEffect/ST13/Red/ST13_06.cs	29	0	29	29	0	29	PASS	
CardEffect/ST15/Black/ST15_02.cs	14	0	14	14	0	14	PASS	
CardEffect/ST16/Purple/ST16_14.cs	18	0	18	18	0	18	PASS	
CardEffect/ST17/Blue/ST17_13.cs	67	0	67	67	0	67	PASS	
CardEffect/ST17/Green/ST17_08.cs	44	0	44	44	0	44	PASS	
CardEffect/ST2/Blue/ST2_01.cs	8	0	8	8	0	8	PASS	
CardEffect/ST2/Blue/ST2_03.cs	18	0	18	18	0	18	PASS	
CardEffect/ST2/Blue/ST2_06.cs	16	0	16	16	0	16	PASS	
CardEffect/ST2/Blue/ST2_08.cs	3	0	3	3	0	3	PASS	
CardEffect/ST2/Blue/ST2_09.cs	24	0	24	24	0	24	PASS	
CardEffect/ST2/Blue/ST2_11.cs	12	0	12	12	0	12	PASS	
CardEffect/ST2/Blue/ST2_12.cs	14	0	14	14	0	14	PASS	
CardEffect/ST2/Blue/ST2_13.cs	13	0	13	13	0	13	PASS	
CardEffect/ST2/Blue/ST2_14.cs	21	0	21	21	0	21	PASS	
CardEffect/ST2/Blue/ST2_15.cs	17	0	17	17	0	17	PASS	
CardEffect/ST2/Blue/ST2_16.cs	23	0	23	23	0	23	PASS	
CardEffect/ST20/White/ST20_15.cs	31	0	31	31	0	31	PASS	
CardEffect/ST22/Red/ST22_08.cs	44	1	43	43	1	43	PASS	
CardEffect/ST22/Red/ST22_12.cs	27	0	27	27	0	26	PASS	
CardEffect/ST3/Yellow/ST3_01.cs	9	0	9	9	0	9	PASS	
CardEffect/ST3/Yellow/ST3_04.cs	9	0	9	9	0	9	PASS	
CardEffect/ST3/Yellow/ST3_05.cs	10	0	10	10	0	10	PASS	
CardEffect/ST3/Yellow/ST3_08.cs	13	0	13	13	0	13	PASS	
CardEffect/ST3/Yellow/ST3_09.cs	26	0	26	26	0	26	PASS	
CardEffect/ST3/Yellow/ST3_11.cs	9	0	9	9	0	9	PASS	
CardEffect/ST3/Yellow/ST3_12.cs	4	0	4	4	0	4	PASS	
CardEffect/ST3/Yellow/ST3_13.cs	22	0	22	22	0	22	PASS	
CardEffect/ST3/Yellow/ST3_14.cs	9	0	9	9	0	9	PASS	
CardEffect/ST3/Yellow/ST3_15.cs	10	0	10	10	0	10	PASS	
CardEffect/ST3/Yellow/ST3_16.cs	9	0	9	9	0	9	PASS	
CardEffect/ST4/Green/ST4_01.cs	9	0	9	9	0	9	PASS	
CardEffect/ST4/Green/ST4_03.cs	13	0	13	13	0	13	PASS	
CardEffect/ST4/Green/ST4_04.cs	11	0	11	11	0	11	PASS	
CardEffect/ST4/Green/ST4_10.cs	16	0	16	16	0	16	PASS	
CardEffect/ST4/Green/ST4_11.cs	14	0	14	14	0	14	PASS	
CardEffect/ST4/Green/ST4_12.cs	23	0	23	23	0	23	PASS	
CardEffect/ST4/Green/ST4_13.cs	22	0	22	22	0	22	PASS	
CardEffect/ST4/Green/ST4_14.cs	16	0	16	16	0	16	PASS	
CardEffect/ST4/Green/ST4_15.cs	23	0	23	23	0	23	PASS	
CardEffect/ST4/Green/ST4_16.cs	19	0	19	19	0	19	PASS	
CardEffect/ST5/Black/ST5_04.cs	8	0	8	8	0	8	PASS	
CardEffect/ST5/Black/ST5_09.cs	14	0	14	14	0	14	PASS	
CardEffect/ST5/Black/ST5_11.cs	0	0	0	0	0	0	NOOP	
CardEffect/ST6/Purple/ST6_12.cs	10	0	10	10	0	10	PASS	
CardEffect/ST7/Red/ST7_10.cs	10	0	10	10	0	10	PASS	
Script/AttackProcess.cs	320	0	320	320	0	316	PASS	
Script/AutoProcessing.cs	325	23	302	302	23	298	PASS	
Script/BrainStormObject.cs	30	0	30	30	0	30	PASS	
Script/CEntity_Base.cs	12	0	12	12	0	12	PASS	
Script/CEntity_EffectController.cs	194	3	191	191	3	191	PASS	
Script/CardController.cs	1183	80	1103	1103	80	1061	PASS	
