relpath,layer,in_asis,in_tobe,pair_state,card_state
CardEffect/BT11/Purple/BT11_084.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_085.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_086.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_087.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_088.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_094.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_109.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Purple/BT11_110.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_001.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_007.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_008.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_009.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_010.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_011.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_012.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_014.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_015.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_016.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_017.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_018.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_019.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_089.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_096.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Red/BT11_097.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/White/BT11_095.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Yellow/BT11_003.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Yellow/BT11_034.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Yellow/BT11_036.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Yellow/BT11_038.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Yellow/BT11_039.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Yellow/BT11_040.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Yellow/BT11_041.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Yellow/BT11_042.cs,CardEffect,Y,Y,BOTH,SHELL
CardEffect/BT11/Yellow/BT11_043.cs,CardEffect,Y,Y,BOTH,SHELL
